nome_evento,edicao,abrangencia,tamanho,segmento,acesso_evento,mes_evento,data_inicio,data_fim,local,cidade,uf,promotor,telefone,site_feira
EXPOARA 2026 - Exposição Agropecuária de Araguaína,58ª edição,Regional,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque de Exposições Dair José Lourenço,Araguaína,TO,Sindicato Rural de Araguaína,63 3411-5100,http://www.instagram.com/sindicatoruralaraguaina/
FESTCLUBESP - Festival de Música Popular Brasileira,5ª edição,Regional,até 1.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante convite,maio,maio de 2026,maio de 2026,São Paulo,São Paulo,SP,Sindicato dos Clubes do Estado de São Paulo (SINDI CLUBES),11 5054-5464,http://www.festclubesp.com.br
GovTech Summit 2026,,Nacional,de 1.000 a 5.000,"Informática, Telecomunicações e TI",Aberto ao público mediante convite e ingresso,maio,maio de 2026,maio de 2026,Centro de Eventos PUCRS,Porto Alegre,RS,GovTech Summit,,http://govtechsummit.com.br
EXPO GENGIBRE - Feira da Agricultura Familiar de Santa Leopoldina (ExpoGengibre),,Regional,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Ginásio de Esportes,Santa Leopoldina,ES,Prefeitura de Santa Leopoldina,27 3266-1181,http://www.instagram.com/expogengibre.sl/
Festival Japão Bragança Paulista (Festival Ihara de Cultura Regional),,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público,maio,maio de 2026,maio de 2026,Associação Nipo Bragança Paulista,Bragança Paulista,SP,Associação Nipo Bragança Paulista,11 4033-2996,http://www.instagram.com/festivaljp/
Summit Abrainc 2026,,Nacional,de 1.000 a 5.000,Construção Civil,Aberto ao público mediante convite,maio,maio de 2026,maio de 2026,Renaissance São Paulo Hotel,São Paulo,SP,Associação Brasileira de Incorporadoras Imobiliárias (ABRAINC),11 5171-8068,http://eventos.abrainc.org.br
Feira Agropecuária de Tubarão 2026,8ª edição,Regional,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Arena Multiuso Prefeito Estêner Soratto da Silva,Tubarão,SC,Prefeitura de Tubarão,48 3621-9000,http://www.instagram.com/pecuariasulcatarinense/
EXPOITATIAIA (Expo Itatiaia),,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Fazenda Aleluia - Vila Pinheiro,Itatiaia,RJ,Prefeitura de Itatiaia,24 3352-6777,http://www.instagram.com/expoitatiaia/
Fundação MT em Campo 2ª Safra 2026 (Sorriso),,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público mediante convite,maio,maio de 2026,maio de 2026,Sorriso,Sorriso,MT,Fundação MT,66 3439-4100,http://www.fundacaomt.com.br
Digitail Conference 2026,,Nacional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,Villa Vérico,São Paulo,SP,GS&MD - Gouvêa de Souza,11 3405-6696,http://www.digitailconf.com.br
