nome_evento,edicao,abrangencia,tamanho,segmento,acesso_evento,mes_evento,data_inicio,data_fim,local,cidade,uf,promotor,telefone,site_feira
Fenamoda,,Regional,de 1.000 a 5.000,Setores Têxtil e Têxtil Confeccionista,Aberto ao público,janeiro,01 de janeiro de 2026,20 de fevereiro de 2026,Shopping Verão Porto Seguro,Porto Seguro,BA,Expo Tricot,35 99126-5365,http://www.instagram.com/fenatricot/
Deep Into Zouk,,Nacional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,03 de janeiro de 2026,06 de janeiro de 2026,Rio de Janeiro,Rio de Janeiro,RJ,Núcleo de Dança Renata Peçanha,21 99265-5035,http://www.instagram.com/riozoukcongress/
Gran Bazar - Feira Critiva Inclusiva,,,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,janeiro,03 de janeiro de 2026,04 de janeiro de 2026,Praça do Aquário,Santos,SP,Setup Eventos,13 97409-5540,http://www.instagram.com/granbazarsantos/
Festival Rhema 2026,,Regional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público,janeiro,05 de janeiro de 2026,10 de janeiro de 2026,Igreja Presbiteriana Luz,Goiânia,GO,Festival Rhema,62 99143-7486,http://www.festivalrhema.art.br
RZC 2026 - Rio Zouk Congress 2026,,Nacional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,08 de janeiro de 2026,11 de janeiro de 2026,Rio de Janeiro,Rio de Janeiro,RJ,Núcleo de Dança Renata Peçanha,21 99265-5035,http://www.instagram.com/riozoukcongress/
Rodeio Laço do Mangueira Velha,58ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,09 de janeiro de 2026,11 de janeiro de 2026,CTG Laço da Mangueira Velha,São Joaquim,SC,CTG Laço da Mangueira Velha,,http://www.instagram.com/ctgmangueiravelha/
FENAHALL 2026 - Feira Nacional de Artesanato do Classic Hall,23ª edição,Nacional,acima de 10.000,"Artesanato, Artes e Coleções",Aberto ao público,janeiro,09 de janeiro de 2026,18 de janeiro de 2026,Classic Hall,Olinda,PE,Viva Pernambuco Turismo,81 3427-7500,http://www.instagram.com/fenahall.pe/
Expo Verão Aracaju,,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público,janeiro,09 de janeiro de 2026,25 de janeiro de 2026,Praça de Eventos da Orla,Aracaju,SE,Expo Verão Aracaju,79 99909-3267,http://www.instagram.com/expoverao/
Salão do Artesanato Paraibano (Salão do Artesanato da Paraíba) (João Pessoa),41ª edição,Regional,acima de 10.000,"Artesanato, Artes e Coleções",Aberto ao público,janeiro,09 de janeiro de 2026,01 de fevereiro de 2026,Hotel Tambaú,João Pessoa,PB,Governo da Paraíba,83 3218-4545,http://www.instagram.com/artesanatopap/
Festival Sabores da Vindima,,Regional,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público,janeiro,10 de janeiro de 2026,10 de janeiro de 2026,Vinícola Salton,Bento Gonçalves,RS,Festival Sabores da Vindima,,http://www.instagram.com/festivalsaboresdavindima/
Gran Bazar (Janeiro),,Municipal,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,janeiro,10 de janeiro de 2026,11 de janeiro de 2026,Praça do Aquário,Santos,SP,Setup Eventos,13 97409-5540,http://www.instagram.com/granbazarsantos/
BAHIACAL (Janeiro),38ª edição,Regional,acima de 10.000,"Couro: Tecnologia, Calçados e Artefatos",Restrito a profissionais do setor,janeiro,11 de janeiro de 2026,13 de janeiro de 2026,Centro de Convenções de Salvador,Salvador,BA,Associação Baiana das Empresas de Representação de Calçados e Afins (ABERC BAHIA),71 9 8228-4113,http://www.instagram.com/aberc_bahiacal/
FEMUSC - Festival de Música de Santa Catarina,21ª edição,Regional,acima de 10.000,Cultura e Educação,Aberto ao público mediante ingresso,janeiro,11 de janeiro de 2026,24 de janeiro de 2026,Jaraguá do Sul,Jaraguá do Sul,SC,Sociedade Cultura Artística de Jaraguá do Sul (SCAR),47 3275-2477,http://femusc.com.br
Mostra Femusc,21ª edição,Regional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,11 de janeiro de 2026,24 de janeiro de 2026,Jaraguá do Sul,Jaraguá do Sul,SC,Sociedade Cultura Artística de Jaraguá do Sul (SCAR),47 3275-2477,http://femusc.com.br
Expo Mel Brasil (Paulista) (Janeiro),,Municipal,até 1.000,Alimentos e Bebidas,Aberto ao público,janeiro,11 de janeiro de 2026,11 de janeiro de 2026,Av. Paulista x Al. Campinas,São Paulo,SP,Instituto Ajude o Pantanal,11 94030-7250,http://www.instagram.com/expomelbrasil/
Anime Wings 2026 (Janeiro),,Regional,de 1.000 a 5.000,"Lazer, Hobby e Esportes",Aberto ao público mediante ingresso,janeiro,11 de janeiro de 2026,11 de janeiro de 2026,Colégio Liceu Franco Brasileiro,Rio de Janeiro,RJ,Anime Wings Entretenimento,21 99829-4880,http://www.animewings.com.br
Congresso Pro Lashes (Curitiba),,Regional,até 1.000,"Produtos de Uso Pessoal, Beleza e Estética",Aberto ao público mediante ingresso,janeiro,11 de janeiro de 2026,11 de janeiro de 2026,Curitiba,Curitiba,PR,Laís Mele (Beauty Eyes),16 98194-7150,http://www.instagram.com/pro_lashesbr/
Festival Universo Spanta (UniversoSpanta),,Regional,acima de 10.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,12 de janeiro de 2026,26 de janeiro de 2026,Marina da Glória,Rio de Janeiro,RJ,Spanta Neném,,http://universospanta.com.br
Outlet Juruaia,17ª edição,Regional,de 1.000 a 5.000,Atacadista e Varejista,Aberto ao público,janeiro,12 de janeiro de 2026,31 de janeiro de 2026,Juruaia,Juruaia,MG,Associação Comercial e Industrial de Juruaia (ACIJU),35 3553-1327,http://www.instagram.com/outlet_juruaia/
Pronegócio (Janeiro),73ª edição,Nacional,de 1.000 a 5.000,Setores Têxtil e Têxtil Confeccionista,Aberto ao público,janeiro,13 de janeiro de 2026,16 de janeiro de 2026,Centro de Eventos Maria Celina Vidotto Imhof (Pavilhão da Fenarreco),Brusque,SC,Associação das Micro e Pequenas Empresas de Brusque e Região (AMPE),47 3351-3811,http://www.instagram.com/ampebrusque/
FCA - Feira de Calçados e Acessórios (Antigo: Showroom de Calçados e Acessórios) (Vassouras),,Regional,de 1.000 a 5.000,"Couro: Tecnologia, Calçados e Artefatos",Restrito a profissionais do setor,janeiro,13 de janeiro de 2026,16 de janeiro de 2026,Centro de Convenções General Sombra,Vassouras,RJ,Done Produtora de Eventos,32 3211-2590,http://www.instagram.com/feiracalcadosacessorios/
AGROVINOS - Feira de Verão de Ovinos,18ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,13 de janeiro de 2026,17 de janeiro de 2026,Parque de Exposições Visconde de Ribeiro Magalhães,Bagé,RS,Associação Bageense de Criadores de Ovinos (ABACO),53 3242-6130,http://www.instagram.com/abacovinos/
Dia de Campo Lar,,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,14 de janeiro de 2026,16 de janeiro de 2026,Unidade Tecnológica Lar,Medianeira,PR,Lar Cooperativa Agroindustrial,45 3264-8800,http://www.instagram.com/p/DTLoUC-j_yq/
DINETEC - Dia de Negócios e Tecnologias (Canarana),,Regional,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,14 de janeiro de 2026,16 de janeiro de 2026,Área Experimental da Meta Consultoria Agrícola,Canarana,MT,Sindicato Rural de Canarana,66 3478-1284,http://www.dinetec.com.br/
Multiexpo Camboriú,4ª edição,Regional,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,janeiro,14 de janeiro de 2026,16 de janeiro de 2026,Expocentro Balneário Camboriú,Balneário Camboriú,SC,RS Eventos e Promoções Ltda,51 9917-38260,http://multiexpo.com.br/eventos/4a-multiexpo-camboriu-sc/
Agroshow Copagril 2026 (AgroshowCopagril),,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,14 de janeiro de 2026,16 de janeiro de 2026,Campo Experimental da Copagril,Marechal Cândido Rondon,PR,Cooperativa Agrícola Mista Rondon Ltda (COPAGRIL),45 3284-7500,http://www.instagram.com/copagril.oficial/
Festival Música nas Montanhas em Poços,27ª edição,Regional,acima de 10.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público,janeiro,14 de janeiro de 2026,17 de janeiro de 2026,Poços de Caldas,Poços de Caldas,MG,Prefeitura de Poços de Caldas,35 3697-5000,http://www.festivalmusicanasmontanhas.com.br
Expo Louças (Itapoá),,Regional,até 1.000,"Utilidades do Lar, Presentes, Brindes e Brinquedos",Aberto ao público,janeiro,15 de janeiro de 2026,17 de janeiro de 2026,Igreja Matriz,Itapoá,SC,Expo Louças,43 99138-7107,http://www.instagram.com/expoloucas/
CONGRESSO FIEPS 2026 - Congresso Científico Internacional da Fieps,23ª edição,Nacional,acima de 10.000,"Lazer, Hobby e Esportes",Aberto ao público,janeiro,15 de janeiro de 2026,18 de janeiro de 2026,Centro Universitário Dinâmica das Cataratas (UDC),Foz do Iguaçu,PR,Federação Internacional de Educação Física (FIEPS Brasil),45 3523-0039,http://congressofieps.com
Congresso Internacional de Educação Física,41ª edição,Nacional,acima de 10.000,"Lazer, Hobby e Esportes",Aberto ao público,janeiro,15 de janeiro de 2026,18 de janeiro de 2026,Centro Universitário Dinâmica das Cataratas (UDC),Foz do Iguaçu,PR,Federação Internacional de Educação Física (FIEPS Brasil),45 3523-0039,http://congressofieps.com
ExpoFIEPS,,Nacional,acima de 10.000,"Lazer, Hobby e Esportes",Aberto ao público,janeiro,15 de janeiro de 2026,18 de janeiro de 2026,Centro Universitário Dinâmica das Cataratas (UDC),Foz do Iguaçu,PR,Federação Internacional de Educação Física (FIEPS Brasil),45 3523-0039,http://congressofieps.com
EP Games 2026,2ª edição,Regional,de 1.000 a 5.000,"Lazer, Hobby e Esportes",Aberto ao público,janeiro,15 de janeiro de 2026,18 de janeiro de 2026,Shopping Iguatemi,Campinas,SP,EP Games,,http://www.instagram.com/epgames.oficial/
Dia de Campo Dagostin Sementes,10ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,15 de janeiro de 2026,15 de janeiro de 2026,UBS Dagostin Sementes,Turvo,SC,Dagostin Indústria e Comércio de Sementes,38 99137-1304,http://www.instagram.com/p/DTaodqpDv-Y/
Festa da Uva (Jundiaí),41ª edição,Regional,acima de 10.000,Alimentos e Bebidas,Aberto ao público,janeiro,15 de janeiro de 2026,08 de fevereiro de 2026,Parque Comendador Antônio Carbonari - Parque da Uva,Jundiaí,SP,Prefeitura Municipal de Jundiaí,11 4589-9265,http://www.instagram.com/festadauvajundiai/
Expo Vinhos (Jundiaí),41ª edição,Regional,acima de 10.000,Alimentos e Bebidas,Aberto ao público,janeiro,15 de janeiro de 2026,08 de fevereiro de 2026,Parque Comendador Antônio Carbonari - Parque da Uva,Jundiaí,SP,Prefeitura Municipal de Jundiaí,11 4589-9265,http://www.instagram.com/festadauvajundiai/
FEFICC - Feira de Ficção Cristã e Cultura,,Regional,de 1.000 a 5.000,Cultura e Educação,Aberto ao público mediante convite,janeiro,16 de janeiro de 2026,18 de janeiro de 2026,Sítio da Jesus Copy School,Bragança Paulista,SP,Sara Gusella,,http://www.instagram.com/p/DNOvHhshNX9/
Festa do Peão de Boiadeiro de Santa Cruz do Rio Pardo,30ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,16 de janeiro de 2026,19 de janeiro de 2026,Parque de Exposições de Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo,SP,Prefeitura de Santa Cruz do Rio Pardo,14 3332-4000,http://www.instagram.com/marrero.rodeio/
Dia da Soja do IGA,,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,16 de janeiro de 2026,16 de janeiro de 2026,Instituto Goiano de Agricultura (IGA),Montividiu,GO,Instituto Goiano de Agricultura (IGA),64 99982-2559,http://www.instagram.com/iga_agricultura/
Fesuva 2026 - Feira da Uva,43ª edição,Regional,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,janeiro,16 de janeiro de 2026,01 de fevereiro de 2026,Centro de Eventos,Ponta Grossa,PR,Prefeitura de Ponta Grossa,42 3220-1000,http://www.instagram.com/fesuva_oficial/
EXPOGOIABA (Expo Goiaba de Valinhos),30ª edição,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público,janeiro,16 de janeiro de 2026,01 de fevereiro de 2026,Parque Municipal de Feiras e Exposições Monsenhor Bruno Nardini,Valinhos,SP,Prefeitura de Valinhos,19 3849-8000,http://www.instagram.com/festadofigo_valinhos/
Festa do Figo (Valinhos),75ª edição,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público,janeiro,16 de janeiro de 2026,01 de fevereiro de 2026,Parque Municipal de Feiras e Exposições Monsenhor Bruno Nardini,Valinhos,SP,Prefeitura de Valinhos,19 3849-8000,http://www.instagram.com/festadofigo_valinhos/
TORRESMOFEST DE VALINHOS - Festival do Torresmo de Valinhos (Janeiro),,,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público,janeiro,16 de janeiro de 2026,01 de fevereiro de 2026,Parque Municipal de Feiras e Exposições Monsenhor Bruno Nardini,Valinhos,SP,Focus Produções e Eventos,11 91236-1645,http://www.instagram.com/torresmofest
Festa do Trator 2026 (Nossa Senhora de Lourdes),12ª edição,Municipal,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,16 de janeiro de 2026,17 de janeiro de 2026,Nossa Senhora de Lourdes,Nossa Senhora de Lourdes,SE,Prefeitura de Nossa Senhora de Lourdes,79 3316-1234,http://www.instagram.com/festadotrator2026/
Conexão Caparaó 2026,,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público mediante convite,janeiro,16 de janeiro de 2026,17 de janeiro de 2026,Pedra Menina,Dores do Rio Preto,ES,Associação de Produtores Rurais de Pedra Menina (APRUPEM),,http://www.even3.com.br/8-conexao-caparao-675270
Seminário Viva Mary Kay,,,de 1.000 a 5.000,"Produtos de Uso Pessoal, Beleza e Estética",Restrito a profissionais do setor,janeiro,17 de janeiro de 2026,19 de janeiro de 2026,São Paulo,São Paulo,SP,Mary Kay,,http://www.instagram.com/marykaybrasil/
Magnifest - Festival de Músicas do Mundo/Latinidades,4ª edição,,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante convite,janeiro,17 de janeiro de 2026,17 de janeiro de 2026,Missão Paz,São Paulo,SP,Missão Paz,11 3340-6950,http://www.sympla.com.br/evento/a-magnifica-orchestra-convida-4-magnifest-festival-de-musicas-do-mundo-na-missao-paz/3247056
CENTEC - Dia de Campo de Soja,6ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,17 de janeiro de 2026,17 de janeiro de 2026,Estação Experimental Centeio,Paranatinga,MT,Centeio Soluções Agrícolas Integradas,66 98110-5919,http://www.instagram.com/p/DNDgCU3MbJa/
Vindima Góes 2026 (Festa da Vindima 2026),,Regional,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público mediante ingresso,janeiro,17 de janeiro de 2026,01 de fevereiro de 2026,Vinícola Góes,São Roque,SP,Vinícola Góes,11 4711-3500,http://www.instagram.com/reel/DQofYCQEYeq/
Salão dos Artistas sem Galeria,17ª edição,Regional,até 1.000,"Artesanato, Artes e Coleções",Aberto ao público,janeiro,17 de janeiro de 2026,28 de fevereiro de 2026,Zipper Galeria,São Paulo,SP,Zipper Galeria,11 4306-4306,http://www.instagram.com/salaodossemgaleria
Gran Sunset - Feira Criativa de Verão (Verão Criativo do Aquário),,Municipal,de 1.000 a 5.000,"Lazer, Hobby e Esportes",Aberto ao público,janeiro,17 de janeiro de 2026,18 de janeiro de 2026,Praça do Áquario,Santos,SP,Setup Eventos,13 97409-5540,http://www.instagram.com/granbazarsantos/
Cat Experience (Butantã Shopping),,,até 1.000,Animais Domésticos e de Pequeno Porte,Aberto ao público,janeiro,17 de janeiro de 2026,18 de janeiro de 2026,Butantã Shopping,São Paulo,SP,Butantã Shopping,11 3723-3900,http://www.shoppingbutanta.com.br/eventos.php?novidade_id=52515
FCA - Feira de Calçados e Acessórios (Antigo: Showroom de Calçados e Acessórios) (Uberlândia),,Regional,de 1.000 a 5.000,"Couro: Tecnologia, Calçados e Artefatos",Restrito a profissionais do setor,janeiro,19 de janeiro de 2026,21 de janeiro de 2026,Uberlândia,Uberlândia,MG,Done Produtora de Eventos,32 3211-2590,http://www.instagram.com/feiracalcadosacessorios/
Festival Internacional Sesc de Música 2026,14ª edição,Nacional,acima de 10.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público,janeiro,19 de janeiro de 2026,30 de janeiro de 2026,Theatro Guarany / Teatro Sicredi / Charqueada São João,Pelotas,RS,Serviço Social do Comércio do Rio Grande do Sul (SESC/RS),51 3375-7447,http://www.sesc-rs.com.br/festival/
Worktalks - Carreira com direção: como tomar decisões profissionais mais inteligentes em 2026,,,até 1.000,Gestão Empresarial e Recursos Humanos,Aberto ao público,janeiro,19 de janeiro de 2026,19 de janeiro de 2026,Online,São Paulo,SP,Catho,11 4134-2103,http://www.catho.com.br/carreira-sucesso/worktalks-evento-online-catho/
Infojobs Impulsiona Carreiras,4ª edição,Regional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante convite,janeiro,20 de janeiro de 2026,22 de janeiro de 2026,Online,São Paulo,SP,InfoJobs Brasil Atividade de Internet Ltda,,http://materiais.infojobs.com.br/infojobs-impulsiona-carreiras
CALCEMODA (Outono/Inverno),23ª edição,Regional,de 5.000 a 10.000,"Couro: Tecnologia, Calçados e Artefatos",Aberto ao público,janeiro,20 de janeiro de 2026,22 de janeiro de 2026,Viasoft Experience,Curitiba,PR,"Associação dos Representantes Comerciais de Calçados, Acessórios e Artigos Esportivos (ARCAE - PR)",41 3023-8235,http://www.calcemoda.com.br
Produtor Day (Janeiro),,Regional,até 1.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante convite,janeiro,20 de janeiro de 2026,20 de janeiro de 2026,Online,Belo Horizonte,MG,Sympla Internet Soluções S/A,,http://produtores.sympla.com.br/produtor-day/
"FEMODA - Feira de Calçados, Confecções e Acessórios (Janeiro)",17ª edição,Regional,acima de 10.000,"Couro: Tecnologia, Calçados e Artefatos",Aberto ao público,janeiro,21 de janeiro de 2026,23 de janeiro de 2026,Centro de Eventos do Pantanal,Cuiabá,MT,Associação dos Representantes Comerciais de Mato Grosso (ASSOREP MT),65 3321-0128,http://www.femoda.com.br
ENF RCCBRASIL - Encontro Nacional de Formação para Servos (ENF),,Nacional,de 1.000 a 5.000,Outros Segmentos,Especializado mediante convite,janeiro,21 de janeiro de 2026,25 de janeiro de 2026,Canção Nova,Cachoeira Paulista,SP,Renovação Carismática Católica do Brasil (RCC) ( RCCBRASIL),12 3151-9999,http://rccbrasil.org.br/enf-2026-encontro-nacional-de-formacao-para-servos/
AgroTec 2026 (Agrotec Integrada 2026),9ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,21 de janeiro de 2026,22 de janeiro de 2026,UDT Londrina,Londrina,PR,Integrada Cooperativa Agroindustrial,43 3294-7008,http://www.instagram.com/agrotec_integrada/
Oasis After Action,,,até 1.000,"Comunicação Empresarial, Feiras e Eventos",Aberto ao público mediante ingresso,janeiro,22 de janeiro de 2026,22 de janeiro de 2026,Online,São Paulo,MG,Bop Comunicação,11 99440-7667,http://lets.events/e/oasis-after-action/
Na Komea 2026,,Nacional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante ingresso,janeiro,22 de janeiro de 2026,22 de janeiro de 2026,Villa Blue Tree,São Paulo,SP,Komea (Loja Integrada),,http://www.sympla.com.br/evento/na-komea-2026/3203915
DIVINAEXPO - Exposição Agropecuária de Divinópolis (Divina Expo),,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,22 de maio de 2026,01 de junho de 2026,Parque de Exposições (Parque DivinaExpo),Divinópolis,MG,Sindicato Rural de Divinópolis,37 3212-2100,http://www.instagram.com/divinaexpooficial/
Colheita de Arroz SC - Abertura Oficial da Colheita do Arroz em Santa Catarina,8ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,22 de janeiro de 2026,23 de janeiro de 2026,Fazenda Limoeiro,São João do Itaperiú,SC,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina (EPAGRI),48 3665-5000,http://www.instagram.com/p/DTxk9Q4ACLf/
CEU - Congresso Espírita de Uberlândia,9ª edição,Regional,acima de 10.000,Outros Segmentos,Aberto ao público,janeiro,23 de janeiro de 2026,25 de janeiro de 2026,Center Convention Uberlândia,Uberlândia,MG,Web Rádio Fraternidade,34 99956-2694,http://congressoespirita.com.br
Dr. Move Experience (Janeiro) x,,Regional,até 1.000,"Lazer, Hobby e Esportes",Aberto ao público mediante ingresso,janeiro,23 de janeiro de 2026,25 de janeiro de 2026,Royal Palm Plaza Resort,Campinas,SP,Dr. Move,19 99279-9907,http://www.instagram.com/drmoveoficial/
BSOP Summer Millions,,Nacional,até 1.000,"Lazer, Hobby e Esportes",Especializado mediante convite,janeiro,23 de janeiro de 2026,31 de janeiro de 2026,Costa do Sauípe Resorts,Mata de São João,BA,Brazilian Series of Poker (BSOP),11 91993-5544,http://bsop.com.br/summer-millions/
Mostra de Cinema de Tiradentes,29ª edição,Nacional,de 5.000 a 10.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público,janeiro,23 de janeiro de 2026,31 de janeiro de 2026,Tiradentes,Tiradentes,MG,Universo Produção,31 3282-2366,http://mostratiradentes.com.br
FIART - Feira Internacional de Artesanato,31ª edição,Nacional,acima de 10.000,"Artesanato, Artes e Coleções",Aberto ao público,janeiro,23 de janeiro de 2026,01 de fevereiro de 2026,Centro de Convenções de Natal,Natal,RN,V & J Turismo e Eventos Ltda,84 3221-3200,http://www.instagram.com/feirafiart/
Zanon Summit x,3ª l a edição x,Nacional,de 1.000 a 5.000,Gestão Empresarial e Recursos Humanos,Aberto ao público mediante ingresso,janeiro,23 de janeiro de 2026,24 de janeiro de 2026,Distrito Anhembi,São Paulo,SP,Grupo Zanon Franchising,17 3214-9300,http://www.sympla.com.br/evento/3-zanon-summit/3132344
Festival CarnaUOL 2026,11ª edição,Regional,de 1.000 a 5.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,janeiro,24 de janeiro de 2026,24 de janeiro de 2026,Allianz Parque,São Paulo,SP,UOL,,http://www.instagram.com/carnauoloficial/
Paleta Atlântida 2026 (Xangri-lá),9ª edição,Regional,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público mediante ingresso,janeiro,24 de janeiro de 2026,24 de janeiro de 2026,Balneário de Atlântida,Xangri-lá,RS,Paleta Atlântida,51 98516-2870,http://www.paletaatlantida.com.br
FV 26 - Festival de Verão de Salvador,,Nacional,acima de 10.000,"Lazer, Hobby e Esportes",Aberto ao público mediante ingresso,janeiro,24 de janeiro de 2026,25 de janeiro de 2026,Parque de Exposições de Salvador,Salvador,BA,SIG Conteúdo e Cultura,,http://fvssa.com.br
Feira do Bem - Por Um Mundo Melhor! (Janeiro),,Municipal,de 1.000 a 5.000,Feiras Multisetoriais,Aberto ao público,janeiro,25 de janeiro de 2026,25 de janeiro de 2026,Praça Cidade de Milão (Vila Nova Conceição),São Paulo,SP,Feira do Bem,11 3044-0827,http://www.instagram.com/feiradobemoficial/
Troféu Cidade de São Paulo,28ª edição,Regional,de 1.000 a 5.000,"Lazer, Hobby e Esportes",Aberto ao público mediante ingresso,janeiro,25 de janeiro de 2026,25 de janeiro de 2026,Parque Ibirapuera - Obelisco,São Paulo,SP,JJS Eventos,11 5531-0200,http://www.trofeucidadedesaopaulo.com.br
Expo Mel Brasil (Janeiro),,Municipal,até 1.000,Alimentos e Bebidas,Aberto ao público,janeiro,25 de janeiro de 2026,25 de janeiro de 2026,Praça Oswaldo Cruz,São Paulo,SP,Instituto Ajude o Pantanal,11 94030-7250,http://www.instagram.com/expomelbrasil/
Circuito Forneria Ceratti by Restaurant Week,,Regional,até 1.000,Alimentos e Bebidas,Aberto ao público,janeiro,25 de janeiro de 2026,25 de março de 2026,São Paulo,São Paulo,SP,Brasil Restaurant Week,11 3874-7400,http://ceratti.com.br/aniversariosp/
SHOW TECNOLÓGICO VERÃO - Show Tecnológico de Verão da Fundação ABC,29ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,25 de janeiro de 2026,26 de janeiro de 2026,CDE Ponta Grossa,Ponta Grossa,PR,Fundação ABC,42 3233-8600,http://www.showtecnologicoabc.org
SHOWROOM - Feira de Móveis,,Regional,de 1.000 a 5.000,"Madeira, Móveis e Decorações",Aberto ao público,janeiro,26 de janeiro de 2026,29 de janeiro de 2026,Ubá,Ubá,MG,CNP Eventos,32 99917-6183,http://www.instagram.com/cnpeventos_/
FEMUR 2026 - Feira de Móveis de Minas Gerais,18ª edição,Nacional,acima de 10.000,"Madeira, Móveis e Decorações",Aberto ao público,janeiro,26 de janeiro de 2026,29 de janeiro de 2026,Pavilhão de Exposições do Horto Florestal - Parque de Eventos Irineu Gomes Filho,Ubá,MG,Intersind Sindicato de Móveis de Ubá (INTERSIND),32 3531-1307,http://www.instagram.com/feirafemur/
Encontro de Muladeiros Iporá,18ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,26 de janeiro de 2026,31 de janeiro de 2026,Parque de Exposições,Iporá,GO,Associação de Muladeiros do Oeste Goiano (AMOG),64 98113-4121,http://www.instagram.com/encontromuladeirosipora/
EXPOINEL Minas 2026,,Nacional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,26 de janeiro de 2026,08 de fevereiro de 2026,Parque Fernando Costa,Uberaba,MG,Associação Mineira dos Criadores de Nelore (NELORE MINAS),31 99128-4868,http://www.instagram.com/nelore_minas/
FCA - Feira de Calçados e Acessórios (Antigo: Showroom de Calçados e Acessórios) (Juiz de Fora),,,de 1.000 a 5.000,"Couro: Tecnologia, Calçados e Artefatos",Restrito a profissionais do setor,janeiro,27 de janeiro de 2026,29 de janeiro de 2026,Trade Hotel e Eventos,Juiz de Fora,MG,Done Produtora de Eventos,32 3211-2590,http://www.instagram.com/feiracalcadosacessorios/
FENIN FASHION GRAMADO (Outono/Inverno),56ª edição,Regional,de 1.000 a 5.000,Setores Têxtil e Têxtil Confeccionista,Restrito a profissionais do setor,janeiro,27 de janeiro de 2026,30 de janeiro de 2026,Serra Park - Centro de Feiras e Eventos,Gramado,RS,Expovest,51 3331-3100,http://fenim.com.br/feira-gramado/
Coopershow 2026 (Cooper Show),19ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,janeiro,27 de janeiro de 2026,30 de janeiro de 2026,Campo de Difusão de Tecnologia Coopermota,Cândido Mota,SP,Coopermota - Cooperativa Agroindustrial,18 3341-9400,http://www.coopershow.com
